epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.433,2.88821,2.42268,1.09124,0.07613,0.5721,0.3332,0.10112,3.02287,2.61929,0.91171,0.000327485,0.000327485,0.0675789
2,548.164,2.72004,1.79662,0.996,0.60429,0.41555,0.42239,0.13869,2.65411,1.80436,0.87376,0.000647735,0.000647735,0.0345659
3,882.271,2.51289,1.65001,1.02462,0.61277,0.54195,0.54036,0.22527,2.23568,1.55341,0.8385,0.000954784,0.000954784,0.00153958
4,1180.98,2.53804,1.60534,0.98994,0.67011,0.51943,0.56502,0.23403,2.21751,1.39811,0.83366,0.0009406,0.0009406,0.0009406
5,1452.74,2.44671,1.49003,0.96217,0.71007,0.58409,0.63832,0.27382,2.21059,2.03369,0.83009,0.0009208,0.0009208,0.0009208
6,1681.47,2.37357,1.4474,0.93705,0.7066,0.58736,0.62802,0.23124,2.22718,1.25301,0.83105,0.000901,0.000901,0.000901
7,1908.57,2.2778,1.41262,0.95324,0.52876,0.47475,0.41039,0.10831,2.67973,2.09112,0.86492,0.0008812,0.0008812,0.0008812
8,2138.34,2.28527,1.3864,0.94531,0.74444,0.65202,0.70009,0.33295,1.99087,1.19174,0.81874,0.0008614,0.0008614,0.0008614
9,2367.46,2.25599,1.38064,0.95763,0.68408,0.59281,0.61432,0.20613,2.40926,1.2865,0.83898,0.0008416,0.0008416,0.0008416
10,2596.09,2.22585,1.31837,0.93507,0.72167,0.62986,0.68714,0.31619,2.06386,1.4175,0.82402,0.0008218,0.0008218,0.0008218
11,2952.97,2.29277,1.36258,0.95092,0.767,0.66841,0.7395,0.37554,1.89086,1.07898,0.81651,0.000802,0.000802,0.000802
12,3176.29,2.19573,1.29489,0.94086,0.77662,0.65543,0.73098,0.37153,1.88458,1.07414,0.81845,0.0007822,0.0007822,0.0007822
13,3477.26,2.14349,1.26635,0.90437,0.75913,0.67163,0.7347,0.36941,1.90671,1.11829,0.81694,0.0007624,0.0007624,0.0007624
14,3697.54,2.1597,1.25927,0.91953,0.73853,0.6474,0.70241,0.32661,1.99586,1.17896,0.81924,0.0007426,0.0007426,0.0007426
15,3915.95,2.13218,1.24492,0.93242,0.79013,0.67817,0.75813,0.39259,1.84452,1.09171,0.81145,0.0007228,0.0007228,0.0007228
16,4138.91,2.07898,1.22758,0.9448,0.77702,0.67526,0.75408,0.39722,1.82032,1.03301,0.81213,0.000703,0.000703,0.000703
17,4366.37,2.07961,1.22686,0.91672,0.79034,0.68108,0.7568,0.37333,1.89126,1.0512,0.81351,0.0006832,0.0006832,0.0006832
18,4610.27,2.07867,1.22974,0.91623,0.75693,0.668,0.73304,0.33598,2.01487,1.15703,0.81865,0.0006634,0.0006634,0.0006634
19,4837.35,2.09129,1.19691,0.89072,0.76239,0.67163,0.74735,0.35692,1.91205,1.06496,0.8134,0.0006436,0.0006436,0.0006436
20,5063.62,2.1602,1.20865,0.90871,0.77063,0.65311,0.73473,0.35325,1.88507,1.06719,0.81592,0.0006238,0.0006238,0.0006238
21,5288.41,2.14657,1.21202,0.89955,0.79384,0.70634,0.77229,0.4016,1.84415,1.02821,0.81369,0.000604,0.000604,0.000604
22,5512.16,2.05915,1.17198,0.89737,0.8003,0.66655,0.75858,0.39399,1.80849,1.03669,0.81152,0.0005842,0.0005842,0.0005842
23,5773.71,2.05466,1.15851,0.91886,0.78473,0.6927,0.76397,0.36712,1.89269,1.00399,0.8123,0.0005644,0.0005644,0.0005644
24,6115.99,2.07567,1.16231,0.894,0.78944,0.67744,0.76066,0.37264,1.88359,1.046,0.81286,0.0005446,0.0005446,0.0005446
25,6337.45,2.02505,1.14796,0.91629,0.78543,0.69452,0.7706,0.38962,1.84743,1.01057,0.81251,0.0005248,0.0005248,0.0005248
