epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.256,2.89774,2.3456,1.08205,0.53158,0.34689,0.32828,0.08719,2.87342,2.01567,0.88761,0.000330409,0.000330409,0.0672895
2,796.738,2.75138,1.85845,1.01036,0.63188,0.50272,0.51452,0.19243,2.37458,1.49974,0.84127,0.000641839,0.000641839,0.0342676
3,1117.31,2.58802,1.68216,0.97082,0.58122,0.54522,0.5146,0.20792,2.18224,1.47982,0.83802,0.000931269,0.000931269,0.00122367
4,31039.9,2.48833,1.62052,0.973,0.71172,0.58741,0.63842,0.28512,2.10059,1.26866,0.83079,0.000901,0.000901,0.000901
5,31279.2,2.45556,1.56246,0.97166,0.71385,0.60734,0.64444,0.28412,2.07556,1.36648,0.82706,0.000868,0.000868,0.000868
6,31661.1,2.38693,1.52204,0.96281,0.73076,0.61133,0.66197,0.29456,2.08597,1.31204,0.82951,0.000835,0.000835,0.000835
7,31899.8,2.35473,1.45327,0.95715,0.72444,0.61133,0.67035,0.29137,2.09712,1.23324,0.82609,0.000802,0.000802,0.000802
8,32137.2,2.35646,1.44374,0.95472,0.76516,0.6255,0.69464,0.33995,1.96954,1.16549,0.82748,0.000769,0.000769,0.000769
9,32376,2.30632,1.42886,0.94611,0.7331,0.62078,0.68197,0.30732,2.07103,1.38687,0.82806,0.000736,0.000736,0.000736
10,32672.1,2.31587,1.42084,0.94862,0.73823,0.63819,0.6962,0.33928,1.96489,1.18482,0.82235,0.000703,0.000703,0.000703
11,32903.2,2.27058,1.39445,0.9398,0.76221,0.63167,0.70603,0.32915,1.98404,1.10408,0.82181,0.00067,0.00067,0.00067
12,33142.6,2.17213,1.35158,0.93924,0.7579,0.64247,0.711,0.32937,1.99437,1.11885,0.82328,0.000637,0.000637,0.000637
13,33377.2,2.21374,1.34882,0.92846,0.75388,0.64984,0.72219,0.35023,1.91525,1.10578,0.81638,0.000604,0.000604,0.000604
14,33610.9,2.21101,1.34367,0.94106,0.76173,0.65238,0.72307,0.34065,1.95877,1.09077,0.81961,0.000571,0.000571,0.000571
15,33847.4,2.17759,1.27843,0.9143,0.77954,0.66582,0.74523,0.36845,1.87227,1.05665,0.81715,0.000538,0.000538,0.000538
16,34079.6,2.12835,1.29836,0.9148,0.75596,0.65825,0.72347,0.34055,1.99644,1.22376,0.82069,0.000505,0.000505,0.000505
17,34317.9,2.10588,1.24299,0.91348,0.76816,0.65637,0.7351,0.34814,1.94189,1.05588,0.81797,0.000472,0.000472,0.000472
18,34657.4,2.13311,1.23028,0.89507,0.75892,0.64185,0.71322,0.29542,2.08934,1.09094,0.82144,0.000439,0.000439,0.000439
19,34889.6,2.12871,1.22558,0.90185,0.75939,0.66764,0.73278,0.32163,2.04769,1.11204,0.82142,0.000406,0.000406,0.000406
20,35119.7,2.11158,1.21808,0.89899,0.77898,0.66364,0.74134,0.32648,2.03043,1.07203,0.81827,0.000373,0.000373,0.000373
21,35358.4,2.02615,1.27773,0.91371,0.78987,0.66655,0.75251,0.38967,1.81873,1.06652,0.8118,0.00034,0.00034,0.00034
