epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.593,3.1642,5.2081,1.27396,0.29706,0.27357,0.1992,0.05988,2.88655,4.20877,1.10928,0.000332219,0.000332219,0.0671104
2,558.879,2.92687,4.13531,1.18209,0.48468,0.36619,0.3354,0.11512,2.69104,3.27594,1.01,0.000639196,0.000639196,0.034084
3,784.639,2.77223,3.82628,1.14216,0.55238,0.4068,0.40969,0.16335,2.46204,3.03418,0.99812,0.000919773,0.000919773,0.00103126
4,1024.93,2.71485,3.61214,1.13234,0.6025,0.41195,0.43451,0.1535,2.57364,2.92549,1.01997,0.0008812,0.0008812,0.0008812
5,1257.69,2.62208,3.37291,1.10265,0.57849,0.43352,0.46375,0.1849,2.43258,2.91682,1.00048,0.0008416,0.0008416,0.0008416
6,1519.17,2.53602,3.28118,1.10055,0.57091,0.41678,0.43768,0.16233,2.64712,2.98507,0.99911,0.000802,0.000802,0.000802
7,1746.85,2.53035,3.24768,1.08589,0.60888,0.41768,0.48225,0.17461,2.4411,2.80511,1.00596,0.0007624,0.0007624,0.0007624
8,1980.68,2.50907,3.17202,1.05894,0.62395,0.46411,0.50478,0.20069,2.38948,2.62916,0.98841,0.0007228,0.0007228,0.0007228
9,2237.58,2.44217,3.00924,1.07296,0.65578,0.45874,0.5137,0.21314,2.26227,2.64503,0.97251,0.0006832,0.0006832,0.0006832
10,2466.35,2.42456,3.12513,1.04164,0.69494,0.46551,0.53761,0.22721,2.26667,2.68836,0.96587,0.0006436,0.0006436,0.0006436
11,2698.33,2.42097,3.0351,1.03337,0.63573,0.50763,0.54279,0.21054,2.44121,2.60718,0.97488,0.000604,0.000604,0.000604
12,2932.7,2.39237,2.9236,1.0188,0.66873,0.49064,0.53278,0.21964,2.30837,2.56871,0.95268,0.0005644,0.0005644,0.0005644
13,3172.91,2.34792,2.93768,1.032,0.66355,0.52887,0.57078,0.23986,2.29866,2.44744,0.95674,0.0005248,0.0005248,0.0005248
14,3405.67,2.32423,2.83196,1.01423,0.65623,0.52551,0.57475,0.25346,2.19965,2.4288,0.96947,0.0004852,0.0004852,0.0004852
15,3634.72,2.32005,2.8141,1.01009,0.69271,0.5189,0.56661,0.24302,2.20352,2.39154,0.964,0.0004456,0.0004456,0.0004456
16,3859.92,2.26247,2.9848,0.9833,0.69972,0.48421,0.54825,0.23832,2.23324,2.53833,0.96872,0.000406,0.000406,0.000406
17,4082.45,2.19728,2.69882,0.96239,0.7045,0.50546,0.56475,0.22814,2.27735,2.41748,0.95199,0.0003664,0.0003664,0.0003664
17,343.8,2.25941,2.70781,0.97193,0.67706,0.50123,0.55004,0.20775,2.43347,2.46927,0.95958,0.0003664,0.0003664,0.0003664
18,217.26,2.16888,2.56128,0.95036,0.69998,0.51022,0.56582,0.215,2.40841,2.51839,0.96694,0.0003268,0.0003268,0.0003268
19,430.227,2.17793,2.59925,0.94688,0.69748,0.5033,0.56216,0.22492,2.29355,2.46589,0.94525,0.0002872,0.0002872,0.0002872
20,645.432,2.1652,2.51334,0.94265,0.67013,0.52798,0.57553,0.22893,2.32313,2.41413,0.95513,0.0002476,0.0002476,0.0002476
21,857.438,2.17321,2.50226,0.94188,0.70368,0.53032,0.57846,0.243,2.23793,2.34433,0.95136,0.000208,0.000208,0.000208
22,1071.66,2.1296,2.45922,0.94674,0.67578,0.52952,0.57804,0.24925,2.18475,2.35014,0.95316,0.0001684,0.0001684,0.0001684
23,1284.06,2.14241,2.49547,0.94205,0.69029,0.55154,0.59403,0.26138,2.13585,2.33888,0.94527,0.0001288,0.0001288,0.0001288
24,1496.94,2.13024,2.47728,0.93972,0.66634,0.52162,0.57094,0.23491,2.26165,2.40177,0.94964,8.92e-05,8.92e-05,8.92e-05
25,1709.87,2.0921,2.45723,0.93206,0.66618,0.53441,0.58442,0.2601,2.1368,2.31508,0.94646,4.96e-05,4.96e-05,4.96e-05
